@@,name,position
->,Signe Riisalo,NULL->Sotsiaalkaitseminister
->,Eva-Maria Liimets,Eesti välisminister->Välisminister
->,Tanel Kiik,Eesti tervise- ja tööminister->Tervise- ja tööminister
->,Taavi Aas,Eesti majandus- ja taristuminister->Majandus- ja taristuminister
->,Tõnis Mölder,Eesti keskkonnaminister->Keskkonnaminister
->,Kalle Laanet,Eesti kaitseminister->Kaitseminister
->,Maris Lauri,Eesti justiitsminister->Justiitsminister
->,Liina Kersna,Eesti haridus- ja teadusminister->Haridus- ja teadusminister
->,Andres Sutt,Eesti ettevõtlusminister->Ettevõtlus- ja infotehnoloogiaminister
->,Kristian Jaani,Eesti Vabariigi siseminister->Siseminister
---,Toomas Tõniste,Rahandusminister
---,Tarmo Tamm,Maaeluminister
---,Indrek Saar,Kultuuriminister
---,Tõnis Lukas,Kultuuriminister
---,Riina Sikkut,Eesti tervise- ja tööminister
---,Jevgeni Ossinovski,Eesti tervise- ja tööminister
---,Kaja Kallas,Eesti peaminister
---,Urmas Reinsalu,Eesti justiitsminister
---,Kaimar Karu,
