@@,id,name
---,d557812c-971d-415b-827d-aa6a382ec6ef,Lauri Läänemets
---,cf42a56a-b91a-4a51-913b-a489305326a2,Hanno Pevkur
---,a78027e5-2480-49f2-a340-ee88daf92d53,Urmas Reinsalu
---,76c477e6-4b49-4d49-ad7b-a4853182a1da,Riina Sikkut
+++,ac0e1069-9bbf-4bf9-88fe-f609a671e74d,Siim Kiisler
+++,a12ffc5c-0809-46cb-abc4-cc99a7fa3f60,Liina Kersna
+++,8e9879fd-2967-45ca-892b-42e927b22d75,Andres Sutt
+++,6e0b6122-249d-48f1-9582-9df8b2bb236d,Toomas Jürgenstein
+++,31eee189-0019-469f-8469-7da564bf1af9,Kalle Laanet
+++,315ea785-8f59-40e5-a158-3de8b908572f,Maris Lauri
